"A","C","E","H","N","R","SP","SH","B","L","Latitude","Longitude","Place.names","City"
0,1,0,0,0,1,0,0,0,0,33.379507,44.339878,"Kadhimiya kindergarten","Baghdad"
1,0,0,0,0,0,1,0,0,0,33.252217,44.495281,"the aquatic city","Baghdad"
0,1,0,0,0,1,0,0,0,0,33.371865,44.358385,"Mosque and shrine of Imam Abu Hanifa Noman","Baghdad"
0,1,0,0,0,1,0,0,0,0,33.351238,44.361236,"Bartha Mosque","Baghdad"
0,1,0,0,0,1,0,0,0,0,33.33788,44.410124,"Mosque and shrine of Sheikh Abdul Qadir Kilani","Baghdad"
0,1,0,0,0,1,0,0,0,0,33.338887,44.397739,"Mosque of the Caliphs","Baghdad"
1,1,0,0,1,0,1,0,0,1,33.314855,44.377068,"Al Zawra Park","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.338494,44.389989,"Al Mustansiriya School","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.342913,44.38353,"The Abbasid palace","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.341267,44.386225,"Al Qashla Building","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.34022,44.389768,"The Baghdadi Museum","Baghdad"
0,1,0,0,1,0,0,0,0,0,33.354717,44.392675,"Natural History Museum","Baghdad"
1,0,1,0,1,0,1,0,0,1,33.443686,44.343758,"The Island of Baghdad","Baghdad"
1,0,1,0,1,0,1,0,0,1,33.278072,44.311123,"amusement park  of Sinbad","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.340998,44.412757,"Wall of Baghdad","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.353535,44.202124,"Aqraqof","Baghdad"
0,0,0,0,0,0,1,0,0,0,33.324922,44.43547,"Al Shaab International Stadium","Baghdad"
0,0,0,0,0,0,0,0,0,1,33.303843,44.432322,"Iraqi National Theater","Baghdad"
0,0,0,0,1,0,1,0,0,1,33.312993,44.417574,"Abu Nawas Park","Baghdad"
0,0,0,0,1,0,1,0,0,1,33.364252,44.369969,"Cornish of Adhamiya","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.323218,44.482462,"Hill of Hermel","Baghdad"
0,1,0,0,0,1,0,0,0,0,33.098498,44.581211,"Al-Mada'in","Baghdad"
0,0,0,0,0,0,0,1,1,1,33.311676,44.364601,"Baghdad Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,33.316956,44.354618,"Al Mansour Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,33.344168,44.434711,"Nakheel Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,33.332125,44.452262,"Zayouna Mall","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.308599,44.389207,"The Monument to the Unknown Soldier","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.305251,44.386446,"Victory Arch","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.34343,44.446017,"Al-Shaheed Monument","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.327729,44.408292,"Monument to Liberation Square","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.328574,44.385881,"The Iraqi Museum","Baghdad"
0,1,0,0,0,0,0,0,0,0,33.301554,44.374928,"Baghdad Clock","Baghdad"
0,1,0,0,0,0,0,1,1,0,33.335714,44.396129,"Al_Rasheed Street","Baghdad"
1,0,1,0,1,0,1,0,0,1,33.283439,44.368207,"Weddings tourist island","Baghdad"
0,0,0,0,1,0,0,0,0,1,33.279633,44.385117,"Lake of  Al-Jadriya","Baghdad"
0,1,0,0,0,0,0,1,1,0,33.340745,44.388752,"Al_Mutanabi Street","Baghdad"
0,1,0,0,0,1,0,0,0,0,36.348485,43.159778,"The tomb of the prophet Younis","Mosul"
0,1,0,0,0,1,0,0,0,0,36.334846,43.135473,"The Shrine of Prophet Shit","Mosul"
1,0,1,0,1,0,0,0,0,1,36.749396,42.739266,"Lake of Mosul Dam","Mosul"
0,1,0,0,1,1,0,0,0,1,36.358684,43.151958,"Tel Qwengq","Mosul"
0,1,0,0,1,1,0,0,0,1,36.39236,43.124106,"Hill of AL-ramah","Mosul"
0,1,0,0,0,0,0,0,0,0,36.372425,43.133596,"Wall of Mosul","Mosul"
0,1,0,0,1,0,0,0,0,1,36.355574,43.121599,"Castle of Bashtabia","Mosul"
0,1,0,0,0,1,0,0,0,0,36.341281,43.125292,"Church of Saint Thomas","Mosul"
0,1,0,0,0,1,0,0,0,0,36.409719,43.11988,"Monastery of Saint Corcis","Mosul"
0,1,0,0,0,1,0,0,0,0,36.343164,43.126917,"Mosque of Nouri","Mosul"
0,1,0,0,0,1,0,0,0,0,36.357639,43.141742,"Great Mosque","Mosul"
0,1,0,0,0,1,0,0,0,0,36.346543,43.132383,"amawy-mosque","Mosul"
0,1,0,0,0,1,0,0,0,0,36.344893,43.136744,"Mosque of Egwat","Mosul"
0,1,0,0,0,1,0,0,0,0,36.344592,43.130459,"Mosque of the Prophet  Georgsmoschee","Mosul"
0,1,0,0,0,0,0,1,1,0,36.342602,43.133153,"Al Najafi Street","Mosul"
0,1,1,1,0,0,0,0,0,1,36.158167,43.25326,"Hamam al-Alil","Mosul"
0,1,0,0,0,0,0,0,0,0,36.337863,43.139408,"Mosul Museum","Mosul"
0,0,0,0,0,0,1,0,0,0,36.379555,43.139717,"University of Mosul Stadium","Mosul"
0,0,0,0,1,0,1,0,0,1,36.333754,43.127341,"New Gate Park","Mosul"
1,0,1,0,1,0,1,0,0,1,36.378563,43.12003,"The forests of Mosul","Mosul"
0,1,1,0,1,0,0,0,0,1,37.09085417,43.48397982,"Al-Amadiyah Castle","Dohuk"
0,1,0,0,1,0,0,0,0,1,37.090582,43.483951,"The Abbasid Bridge","Dohuk"
0,1,0,0,0,1,0,0,0,0,36.85778,42.999204,"Great Duhok Mosque.","Dohuk"
0,1,0,0,0,1,0,0,0,0,36.861742,42.997208,"The Great Mosque in Aqra","Dohuk"
1,1,1,0,1,0,0,0,0,1,36.90466,43.135918,"Resort of Zawita","Dohuk"
1,0,1,0,1,0,0,0,0,1,37.232618,42.846165,"Shranche waterfall","Dohuk"
1,0,1,0,1,0,0,0,0,1,37.04633,43.338697,"Resort  of Sarsink","Dohuk"
