"A","C","E","H","N","R","SP","SH","B","L","Latitude","Longitude","Place.names","City"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Kadhimiya kindergarten","Baghdad"
1,0,0,0,0,0,1,0,0,0,"level 1","level 2","the aquatic city","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque and shrine of Imam Abu Hanifa Noman","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Bartha Mosque","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque and shrine of Sheikh Abdul Qadir Kilani","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque of the Caliphs","Baghdad"
1,1,0,0,1,0,1,0,0,1,"level 1","level 2","Al Zawra Park","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al Mustansiriya School","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Abbasid palace","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al Qashla Building","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Baghdadi Museum","Baghdad"
0,1,0,0,1,0,0,0,0,0,"level 1","level 2","Natural History Museum","Baghdad"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","The Island of Baghdad","Baghdad"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","amusement park  of Sinbad","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Wall of Baghdad","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Aqraqof","Baghdad"
0,0,0,0,0,0,1,0,0,0,"level 1","level 2","Al Shaab International Stadium","Baghdad"
0,0,0,0,0,0,0,0,0,1,"level 1","level 2","Iraqi National Theater","Baghdad"
0,0,0,0,1,0,1,0,0,1,"level 1","level 2","Abu Nawas Park","Baghdad"
0,0,0,0,1,0,1,0,0,1,"level 1","level 2","Cornish of Adhamiya","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Hill of Hermel","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Al-Mada'in","Baghdad"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Baghdad Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Al Mansour Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Nakheel Mall","Baghdad"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Zayouna Mall","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Monument to the Unknown Soldier","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Victory Arch","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al-Shaheed Monument","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Monument to Liberation Square","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Iraqi Museum","Baghdad"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Baghdad Clock","Baghdad"
0,1,0,0,0,0,0,1,1,0,"level 1","level 2","Al_Rasheed Street","Baghdad"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","Weddings tourist island","Baghdad"
0,0,0,0,1,0,0,0,0,1,"level 1","level 2","Lake of  Al-Jadriya","Baghdad"
0,1,0,0,0,0,0,1,1,0,"level 1","level 2","Al_Mutanabi Street","Baghdad"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The tomb of the prophet Younis","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The Shrine of Prophet Shit","Mosul"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Lake of Mosul Dam","Mosul"
0,1,0,0,1,1,0,0,0,1,"level 2","level 2","Tel Qwengq","Mosul"
0,1,0,0,1,1,0,0,0,1,"level 2","level 2","Hill of AL-ramah","Mosul"
0,1,0,0,0,0,0,0,0,0,"level 2","level 2","Wall of Mosul","Mosul"
0,1,0,0,1,0,0,0,0,1,"level 2","level 2","Castle of Bashtabia","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Church of Saint Thomas","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Monastery of Saint Corcis","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of Nouri","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Great Mosque","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","amawy-mosque","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of Egwat","Mosul"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of the Prophet  Georgsmoschee","Mosul"
0,1,0,0,0,0,0,1,1,0,"level 2","level 2","Al Najafi Street","Mosul"
0,1,1,1,0,0,0,0,0,1,"level 2","level 2","Hamam al-Alil","Mosul"
0,1,0,0,0,0,0,0,0,0,"level 2","level 2","Mosul Museum","Mosul"
0,0,0,0,0,0,1,0,0,0,"level 2","level 2","University of Mosul Stadium","Mosul"
0,0,0,0,1,0,1,0,0,1,"level 2","level 2","New Gate Park","Mosul"
1,0,1,0,1,0,1,0,0,1,"level 2","level 2","The forests of Mosul","Mosul"
0,1,1,0,1,0,0,0,0,1,"level 2","level 2","Al-Amadiyah Castle","Dohuk"
0,1,0,0,1,0,0,0,0,1,"level 2","level 2","The Abbasid Bridge","Dohuk"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Great Duhok Mosque.","Dohuk"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The Great Mosque in Aqra","Dohuk"
1,1,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Zawita","Dohuk"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Shranche waterfall","Dohuk"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort  of Sarsink","Dohuk"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Ashawa","Dohuk"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Solav","Dohuk"
0,0,0,0,1,0,1,0,0,1,"level 2","level 2","Prazani Park","Dohuk"
0,0,1,0,1,0,1,0,0,1,"level 2","level 2","Park Azadi","Dohuk"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Phin Resort","Dohuk"
0,0,0,0,0,0,0,1,1,1,"level 2","level 2","Duhok Mall","Dohuk"
