"A","C","E","H","N","R","SP","SH","B","L","Latitude","Longitude","Place.names","City"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Kadhimiya kindergarten","level 1"
1,0,0,0,0,0,1,0,0,0,"level 1","level 2","the aquatic city","level 1"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque and shrine of Imam Abu Hanifa Noman","level 1"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Bartha Mosque","level 1"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque and shrine of Sheikh Abdul Qadir Kilani","level 1"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Mosque of the Caliphs","level 1"
1,1,0,0,1,0,1,0,0,1,"level 1","level 2","Al Zawra Park","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al Mustansiriya School","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Abbasid palace","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al Qashla Building","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Baghdadi Museum","level 1"
0,1,0,0,1,0,0,0,0,0,"level 1","level 2","Natural History Museum","level 1"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","The Island of Baghdad","level 1"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","amusement park  of Sinbad","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Wall of Baghdad","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Aqraqof","level 1"
0,0,0,0,0,0,1,0,0,0,"level 1","level 2","Al Shaab International Stadium","level 1"
0,0,0,0,0,0,0,0,0,1,"level 1","level 2","Iraqi National Theater","level 1"
0,0,0,0,1,0,1,0,0,1,"level 1","level 2","Abu Nawas Park","level 1"
0,0,0,0,1,0,1,0,0,1,"level 1","level 2","Cornish of Adhamiya","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Hill of Hermel","level 1"
0,1,0,0,0,1,0,0,0,0,"level 1","level 2","Al-Mada'in","level 1"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Baghdad Mall","level 1"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Al Mansour Mall","level 1"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Nakheel Mall","level 1"
0,0,0,0,0,0,0,1,1,1,"level 1","level 2","Zayouna Mall","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Monument to the Unknown Soldier","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Victory Arch","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Al-Shaheed Monument","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Monument to Liberation Square","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","The Iraqi Museum","level 1"
0,1,0,0,0,0,0,0,0,0,"level 1","level 2","Baghdad Clock","level 1"
0,1,0,0,0,0,0,1,1,0,"level 1","level 2","Al_Rasheed Street","level 1"
1,0,1,0,1,0,1,0,0,1,"level 1","level 2","Weddings tourist island","level 1"
0,0,0,0,1,0,0,0,0,1,"level 1","level 2","Lake of  Al-Jadriya","level 1"
0,1,0,0,0,0,0,1,1,0,"level 1","level 2","Al_Mutanabi Street","level 1"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The tomb of the prophet Younis","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The Shrine of Prophet Shit","level 2"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Lake of Mosul Dam","level 2"
0,1,0,0,1,1,0,0,0,1,"level 2","level 2","Tel Qwengq","level 2"
0,1,0,0,1,1,0,0,0,1,"level 2","level 2","Hill of AL-ramah","level 2"
0,1,0,0,0,0,0,0,0,0,"level 2","level 2","Wall of Mosul","level 2"
0,1,0,0,1,0,0,0,0,1,"level 2","level 2","Castle of Bashtabia","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Church of Saint Thomas","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Monastery of Saint Corcis","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of Nouri","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Great Mosque","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","amawy-mosque","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of Egwat","level 2"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Mosque of the Prophet  Georgsmoschee","level 2"
0,1,0,0,0,0,0,1,1,0,"level 2","level 2","Al Najafi Street","level 2"
0,1,1,1,0,0,0,0,0,1,"level 2","level 2","Hamam al-Alil","level 2"
0,1,0,0,0,0,0,0,0,0,"level 2","level 2","Mosul Museum","level 2"
0,0,0,0,0,0,1,0,0,0,"level 2","level 2","University of Mosul Stadium","level 2"
0,0,0,0,1,0,1,0,0,1,"level 2","level 2","New Gate Park","level 2"
1,0,1,0,1,0,1,0,0,1,"level 2","level 2","The forests of Mosul","level 2"
0,1,1,0,1,0,0,0,0,1,"level 2","level 2","Al-Amadiyah Castle","level 1"
0,1,0,0,1,0,0,0,0,1,"level 2","level 2","The Abbasid Bridge","level 1"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","Great Duhok Mosque.","level 1"
0,1,0,0,0,1,0,0,0,0,"level 2","level 2","The Great Mosque in Aqra","level 1"
1,1,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Zawita","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Shranche waterfall","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort  of Sarsink","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Ashawa","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort of Solav","level 1"
0,0,0,0,1,0,1,0,0,1,"level 2","level 2","Prazani Park","level 1"
0,0,1,0,1,0,1,0,0,1,"level 2","level 2","Park Azadi","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Phin Resort","level 1"
0,0,0,0,0,0,0,1,1,1,"level 2","level 2","Duhok Mall","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Dohuk Governorate","level 1"
1,0,1,0,1,0,0,0,0,0,"level 2","level 2","Resort  of Kelly Sheeran","level 1"
0,0,0,0,0,0,0,1,1,1,"level 2","level 2","Family Mall","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Gali Ali Beg Waterfall","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Waterfall Bekhal","level 1"
1,0,1,0,1,0,0,1,0,1,"level 2","level 2","Shaklawa Resort","level 1"
1,1,1,0,1,0,0,0,0,1,"level 2","level 2","Chandelar Cave","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Resort Haj Omran","level 1"
0,1,0,0,0,0,0,0,0,0,"level 2","level 2","Museum of Syrialc Heritage","level 1"
1,0,1,0,1,0,0,0,0,1,"level 2","level 2","Ganarok Resort","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Aqua Park","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Shandar Park","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Ronaki Park","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Sami Abdel Rahman Park","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Shander Park","level 1"
0,0,1,0,1,0,1,1,1,1,"level 2","level 2","Lighthouse Park","level 1"
1,0,0,0,1,0,0,0,0,1,"level 2","level 2","amusement park  of Ainkawa","level 1"
1,0,0,0,1,0,0,0,0,1,"level 2","level 2","amusement park  of Family Fan","level 1"
