"Place.names","Latitude","Longitude","City"
"Kadhimiya kindergarten",33.379507,44.339878,"Baghdad"
"the aquatic city",33.252217,44.495281,"Baghdad"
"Mosque and shrine of Imam Abu Hanifa Noman",33.371865,44.358385,"Baghdad"
"Bartha Mosque",33.351238,44.361236,"Baghdad"
"Mosque and shrine of Sheikh Abdul Qadir Kilani",33.33788,44.410124,"Baghdad"
"Mosque of the Caliphs",33.338887,44.397739,"Baghdad"
"Al Zawra Park",33.314855,44.377068,"Baghdad"
"Al Mustansiriya School",33.338494,44.389989,"Baghdad"
"The Abbasid palace",33.342913,44.38353,"Baghdad"
"Al Qashla Building",33.341267,44.386225,"Baghdad"
"The Baghdadi Museum",33.34022,44.389768,"Baghdad"
"Natural History Museum",33.354717,44.392675,"Baghdad"
"The Island of Baghdad",33.443686,44.343758,"Baghdad"
"amusement park  of Sinbad",33.278072,44.311123,"Baghdad"
"Wall of Baghdad",33.340998,44.412757,"Baghdad"
"Aqraqof",33.353535,44.202124,"Baghdad"
"Al Shaab International Stadium",33.324922,44.43547,"Baghdad"
"Iraqi National Theater",33.303843,44.432322,"Baghdad"
"Abu Nawas Park",33.312993,44.417574,"Baghdad"
"Cornish of Adhamiya",33.364252,44.369969,"Baghdad"
"Hill of Hermel",33.323218,44.482462,"Baghdad"
"Al-Mada'in",33.098498,44.581211,"Baghdad"
"Baghdad Mall",33.311676,44.364601,"Baghdad"
"Al Mansour Mall",33.316956,44.354618,"Baghdad"
"Nakheel Mall",33.344168,44.434711,"Baghdad"
"Zayouna Mall",33.332125,44.452262,"Baghdad"
"The Monument to the Unknown Soldier",33.308599,44.389207,"Baghdad"
"Victory Arch",33.305251,44.386446,"Baghdad"
"Al-Shaheed Monument",33.34343,44.446017,"Baghdad"
"Monument to Liberation Square",33.327729,44.408292,"Baghdad"
"The Iraqi Museum",33.328574,44.385881,"Baghdad"
"Baghdad Clock",33.301554,44.374928,"Baghdad"
"Al_Rasheed Street",33.335714,44.396129,"Baghdad"
"Weddings tourist island",33.283439,44.368207,"Baghdad"
"Lake of  Al-Jadriya",33.279633,44.385117,"Baghdad"
"Al_Mutanabi Street",33.340745,44.388752,"Baghdad"
"The tomb of the prophet Younis",36.348485,43.159778,"Mosul"
"The Shrine of Prophet Shit",36.334846,43.135473,"Mosul"
"Lake of Mosul Dam",36.749396,42.739266,"Mosul"
"Tel Qwengq",36.358684,43.151958,"Mosul"
"Hill of AL-ramah",36.39236,43.124106,"Mosul"
"Wall of Mosul",36.372425,43.133596,"Mosul"
"Castle of Bashtabia",36.355574,43.121599,"Mosul"
"Church of Saint Thomas",36.341281,43.125292,"Mosul"
"Monastery of Saint Corcis",36.409719,43.11988,"Mosul"
"Mosque of Nouri",36.343164,43.126917,"Mosul"
"Great Mosque",36.357639,43.141742,"Mosul"
