"Place.names","Latitude","Longitude","City"
"Kadhimiya kindergarten","level 2","level 4","Baghdad"
"the aquatic city","level 2","level 4","Baghdad"
"Mosque and shrine of Imam Abu Hanifa Noman","level 2","level 4","Baghdad"
"Bartha Mosque","level 2","level 4","Baghdad"
"Mosque and shrine of Sheikh Abdul Qadir Kilani","level 2","level 4","Baghdad"
"Mosque of the Caliphs","level 2","level 4","Baghdad"
"Al Zawra Park","level 2","level 4","Baghdad"
"Al Mustansiriya School","level 2","level 4","Baghdad"
"The Abbasid palace","level 2","level 4","Baghdad"
"Al Qashla Building","level 2","level 4","Baghdad"
"The Baghdadi Museum","level 2","level 4","Baghdad"
"Natural History Museum","level 2","level 4","Baghdad"
"The Island of Baghdad","level 2","level 4","Baghdad"
"amusement park  of Sinbad","level 2","level 4","Baghdad"
"Wall of Baghdad","level 2","level 4","Baghdad"
"Aqraqof","level 2","level 4","Baghdad"
"Al Shaab International Stadium","level 2","level 4","Baghdad"
"Iraqi National Theater","level 2","level 4","Baghdad"
"Abu Nawas Park","level 2","level 4","Baghdad"
"Cornish of Adhamiya","level 2","level 4","Baghdad"
"Hill of Hermel","level 2","level 4","Baghdad"
"Al-Mada'in","level 2","level 4","Baghdad"
"Baghdad Mall","level 2","level 4","Baghdad"
"Al Mansour Mall","level 2","level 4","Baghdad"
"Nakheel Mall","level 2","level 4","Baghdad"
"Zayouna Mall","level 2","level 4","Baghdad"
"The Monument to the Unknown Soldier","level 2","level 4","Baghdad"
"Victory Arch","level 2","level 4","Baghdad"
"Al-Shaheed Monument","level 2","level 4","Baghdad"
"Monument to Liberation Square","level 2","level 4","Baghdad"
"The Iraqi Museum","level 2","level 4","Baghdad"
"Baghdad Clock","level 2","level 4","Baghdad"
"Al_Rasheed Street","level 2","level 4","Baghdad"
"Weddings tourist island","level 2","level 4","Baghdad"
"Lake of  Al-Jadriya","level 2","level 4","Baghdad"
"Al_Mutanabi Street","level 2","level 4","Baghdad"
"The tomb of the prophet Younis","level 4","level 3","Mosul"
"The Shrine of Prophet Shit","level 4","level 3","Mosul"
"Lake of Mosul Dam","level 4","level 3","Mosul"
"Tel Qwengq","level 4","level 3","Mosul"
"Hill of AL-ramah","level 4","level 3","Mosul"
"Wall of Mosul","level 4","level 3","Mosul"
"Castle of Bashtabia","level 4","level 3","Mosul"
"Church of Saint Thomas","level 4","level 3","Mosul"
"Monastery of Saint Corcis","level 4","level 3","Mosul"
"Mosque of Nouri","level 4","level 3","Mosul"
"Great Mosque","level 4","level 3","Mosul"
"amawy-mosque","level 4","level 3","Mosul"
"Mosque of Egwat","level 4","level 3","Mosul"
