"Longitude","Latitude","Place.names"
44.339878,33.379507,"Kadhimiya kindergarten"
44.495281,33.252217,"the aquatic city"
44.358385,33.371865,"Mosque and shrine of Imam Abu Hanifa Noman"
44.361236,33.351238,"Bartha Mosque"
44.410124,33.33788,"Mosque and shrine of Sheikh Abdul Qadir Kilani"
44.397739,33.338887,"Mosque of the Caliphs"
44.377068,33.314855,"Al Zawra Park"
44.389989,33.338494,"Al Mustansiriya School"
44.38353,33.342913,"The Abbasid palace"
44.386225,33.341267,"Al Qashla Building"
44.389768,33.34022,"The Baghdadi Museum"
44.392675,33.354717,"Natural History Museum"
44.343758,33.443686,"The Island of Baghdad"
44.311123,33.278072,"amusement park  of Sinbad"
44.412757,33.340998,"Wall of Baghdad"
44.202124,33.353535,"Aqraqof"
44.43547,33.324922,"Al Shaab International Stadium"
44.432322,33.303843,"Iraqi National Theater"
44.417574,33.312993,"Abu Nawas Park"
44.369969,33.364252,"Cornish of Adhamiya"
44.482462,33.323218,"Hill of Hermel"
44.581211,33.098498,"Al-Mada'in"
44.364601,33.311676,"Baghdad Mall"
44.354618,33.316956,"Al Mansour Mall"
44.434711,33.344168,"Nakheel Mall"
44.452262,33.332125,"Zayouna Mall"
44.389207,33.308599,"The Monument to the Unknown Soldier"
44.386446,33.305251,"Victory Arch"
44.446017,33.34343,"Al-Shaheed Monument"
44.408292,33.327729,"Monument to Liberation Square"
44.385881,33.328574,"The Iraqi Museum"
44.374928,33.301554,"Baghdad Clock"
44.396129,33.335714,"Al_Rasheed Street"
44.368207,33.283439,"Weddings tourist island"
44.385117,33.279633,"Lake of  Al-Jadriya"
44.388752,33.340745,"Al_Mutanabi Street"
43.159778,36.348485,"The tomb of the prophet Younis"
43.135473,36.334846,"The Shrine of Prophet Shit"
42.739266,36.749396,"Lake of Mosul Dam"
43.151958,36.358684,"Tel Qwengq"
43.124106,36.39236,"Hill of AL-ramah"
43.133596,36.372425,"Wall of Mosul"
43.121599,36.355574,"Castle of Bashtabia"
43.125292,36.341281,"Church of Saint Thomas"
43.11988,36.409719,"Monastery of Saint Corcis"
43.126917,36.343164,"Mosque of Nouri"
43.141742,36.357639,"Great Mosque"
43.132383,36.346543,"amawy-mosque"
43.136744,36.344893,"Mosque of Egwat"
43.130459,36.344592,"Mosque of the Prophet  Georgsmoschee"
43.133153,36.342602,"Al Najafi Street"
